Date,IP,CPI,ESI,vacancies,long_term,short_term,spread,
2000-01-01,81.6,75.1,109.6,388705,5.53952381,3.343142857,2.196380952,
2000-02-01,82.9,75.1,110.9,428471,5.508571429,3.536761905,1.971809524,
2000-03-01,83.1,75.1,111.2,445171,5.333043478,3.747043478,1.586,
2000-04-01,83.7,75.1,108.9,462908,5.225555556,3.925277778,1.300277778,
2000-05-01,86,75.1,110.6,481825,5.378181818,4.362045455,1.016136364,
2000-06-01,83.4,75.4,108.5,484199,5.191363636,4.501727273,0.689636364,
2000-07-01,85.2,75.8,110.7,482682,5.266190476,4.582904762,0.683285714,
2000-08-01,85.7,75.6,111,475158,5.210434783,4.777086957,0.433347826,
2000-09-01,85.8,75.8,109.2,469923,5.263333333,4.852809524,0.41052381,
2000-10-01,85.3,75.7,111.9,453988,5.207142857,5.041272727,0.16587013,
2000-11-01,85.7,75.8,112,434588,5.153636364,5.091954545,0.061681818,
2000-12-01,86.3,76.4,111.2,417609,4.890526316,4.939157895,-0.048631579,
2001-01-01,85.6,76.2,107.7,426609,4.803181818,4.770727273,0.032454545,
2001-02-01,87.2,76.6,103.7,456001,4.7775,4.7558,0.0217,
2001-03-01,85.3,76.6,99.6,467628,4.667727273,4.708636364,-0.040909091,
2001-04-01,83.9,76.9,99,465506,4.827894737,4.682,0.145894737,
2001-05-01,85.3,77.2,97.8,461459,5.046818182,4.636681818,0.410136364,
2001-06-01,85.2,77.3,94.7,458692,5,4.453571429,0.546428571,
2001-07-01,83.1,77.4,92.9,449132,5.015909091,4.467136364,0.548772727,
2001-08-01,85.2,77.2,91,439922,4.823913043,4.353521739,0.470391304,
2001-09-01,84.3,77.2,87.9,429170,4.813,3.98285,0.83015,
2001-10-01,82.8,77.1,84.3,403314,4.599565217,3.599869565,0.999695652,
2001-11-01,82.1,76.9,81.1,369908,4.447727273,3.385681818,1.062045455,
2001-12-01,82.8,77.7,83.7,344604,4.735882353,3.344888889,1.390993464,
2002-01-01,82.3,77.7,84.5,359388,4.862727273,3.338772727,1.523954545,
2002-02-01,83,78,86.3,393768,4.9195,3.3571,1.5624,
2002-03-01,83.4,78.2,88.3,411369,5.161,3.3908,1.7702,
2002-04-01,83.3,78.1,87,414346,5.155238095,3.406904762,1.748333333,
2002-05-01,82.6,78.2,85.8,412936,5.167727273,3.467136364,1.700590909,
2002-06-01,84.1,78.2,84.1,408031,5.0175,3.464,1.5535,
2002-07-01,82.9,78.3,83.6,392796,4.867391304,3.41,1.457391304,
2002-08-01,84.6,78.2,82.2,381388,4.589545455,3.351909091,1.237636364,
2002-09-01,83.9,78.2,82.9,361983,4.385238095,3.310142857,1.075095238,
2002-10-01,83,78.1,80.8,339005,4.463913043,3.26126087,1.202652174,
2002-11-01,84.4,77.8,79.4,310069,4.477619048,3.124142857,1.35347619,
2002-12-01,82.5,78.5,78.1,284349,4.335555556,2.94105,1.394505556,
2003-01-01,83.4,78.5,80.4,285427,4.18,2.831818182,1.348181818,
2003-02-01,83.4,79,81.1,295221,3.955,2.68745,1.26755,
2003-03-01,84,79,81.9,298491,4.00047619,2.529952381,1.47052381,
2003-04-01,83.4,78.8,84.7,297731,4.147,2.53335,1.61365,
2003-05-01,82.8,78.6,83.3,282783,3.815238095,2.40052381,1.414714286,
2003-06-01,82.4,78.9,86.2,275572,3.616666667,2.151857143,1.464809524,
2003-07-01,84.1,79,87.3,276825,3.972608696,2.130043478,1.842565217,
2003-08-01,82.2,79,90,273422,4.13,2.140428571,1.989571429,
2003-09-01,82,79,91.2,254036,4.171363636,2.147318182,2.024045455,
2003-10-01,84,79,92.1,236690,4.221304348,2.143565217,2.07773913,
2003-11-01,84.7,78.8,94.5,220139,4.353,2.15905,2.19395,
2003-12-01,84.8,79.4,93.3,199037,4.291052632,2.146333333,2.144719298,
2004-01-01,84.8,79.4,90.2,197452,4.170952381,2.08947619,2.08147619,
2004-02-01,84.5,79.6,95,205632,4.11,2.07055,2.03945,
2004-03-01,84.5,79.9,92.3,205638,3.913478261,2.028826087,1.884652174,
2004-04-01,85.4,80.1,92.3,207798,4.097,2.04875,2.04825,
2004-05-01,86.2,80.3,91.9,214914,4.253333333,2.085857143,2.16747619,
2004-06-01,85.7,80.3,91.2,219726,4.312727273,2.112681818,2.200045455,
2004-07-01,86.5,80.4,92.2,220321,4.236818182,2.116045455,2.120772727,
2004-08-01,85.7,80.5,91.8,217993,4.080454545,2.114272727,1.966181818,
2004-09-01,85.7,80.3,93.7,211217,4.016363636,2.118590909,1.897772727,
2004-10-01,86.4,80.4,93.2,202235,3.894761905,2.147333333,1.747428571,
2004-11-01,85.2,80.3,93.5,190062,3.780454545,2.170318182,1.610136364,
2004-12-01,85.3,81.2,91.6,179391,3.57952381,2.173173913,1.406349896,
2005-01-01,87.1,80.6,94.9,190840,3.564761905,2.145428571,1.419333333,
2005-02-01,85.8,80.9,93.4,208619,3.544,2.13835,1.40565,
2005-03-01,86.1,81.3,91,226527,3.696190476,2.137190476,1.559,
2005-04-01,87.4,81,91.6,241425,3.482380952,2.137238095,1.345142857,
2005-05-01,86.5,81.2,92.3,257815,3.304090909,2.125636364,1.178454545,
2005-06-01,88.1,81.3,91.6,266694,3.126363636,2.111045455,1.015318182,
2005-07-01,89.3,81.7,93,283267,3.205714286,2.119428571,1.086285714,
2005-08-01,86.9,81.8,94.4,287425,3.232608696,2.132478261,1.100130435,
2005-09-01,88.9,81.9,95.5,292291,3.067727273,2.139136364,0.928590909,
2005-10-01,90.5,81.9,96.7,287157,3.238571429,2.196619048,1.041952381,
2005-11-01,89.6,81.7,96.3,271912,3.448181818,2.360863636,1.087318182,
2005-12-01,89.9,82.3,97.7,255127,3.337619048,2.472857143,0.864761905,
2006-01-01,90.4,82,101.2,259875,3.321363636,2.511681818,0.809681818,
2006-02-01,90.6,82.4,102.1,284718,3.4725,2.60035,0.87215,
2006-03-01,89.3,82.4,102.5,305127,3.637391304,2.722608696,0.914782609,
2006-04-01,91.9,82.7,103.4,326840,3.895,2.793777778,1.101222222,
2006-05-01,92.9,82.7,105.3,353479,3.962727273,2.889,1.073727273,
2006-06-01,92.7,82.9,104.5,369046,3.960454545,2.985681818,0.974772727,
2006-07-01,94.1,83.2,104.2,392030,4.01,3.102190476,0.907809524,
2006-08-01,94.5,83,104.1,398954,3.883913043,3.226478261,0.657434783,
2006-09-01,94.4,82.7,104.7,401793,3.753809524,3.335380952,0.418428571,
2006-10-01,94.1,82.8,105.7,397951,3.787727273,3.502,0.285727273,
2006-11-01,95.7,82.8,107,387373,3.714090909,3.597181818,0.116909091,
2006-12-01,96.6,83.5,107.1,374269,3.770526316,3.684210526,0.086315789,
2007-01-01,96.3,83.5,107.1,374115,4.016818182,3.751863636,0.264954545,
2007-02-01,97.1,83.8,105.4,409468,4.049,3.8182,0.2308,
2007-03-01,97.2,84,106.7,429509,3.940909091,3.890909091,0.05,
2007-04-01,96.2,84.4,108.2,439929,4.152105263,3.975263158,0.176842105,
2007-05-01,98.1,84.4,108.2,445439,4.279047619,4.071363636,0.207683983,
2007-06-01,98.3,84.5,108.4,453724,4.56047619,4.147761905,0.412714286,
2007-07-01,98.9,84.9,108,455324,4.505,4.216181818,0.288818182,
2007-08-01,99.1,84.8,106.9,450146,4.296521739,4.543608696,-0.247086957,
2007-09-01,100.2,84.9,104.7,436399,4.226,4.7417,-0.5157,
2007-10-01,100.2,85.1,105,420564,4.282608696,4.687391304,-0.404782609,
2007-11-01,100,85.6,103,397569,4.089090909,4.638545455,-0.549454545,
2007-12-01,100.7,86.1,102.7,369088,4.205882353,4.848368421,-0.642486068,
2008-01-01,102.3,85.8,102.3,351628,4.027727273,4.481545455,-0.453818182,
2008-02-01,101.8,86.2,102.5,376477,3.952857143,4.362095238,-0.409238095,
2008-03-01,100.9,86.6,102.3,392657,3.799473684,4.596368421,-0.796894737,
2008-04-01,101.4,86.4,100.7,395069,4.04,4.7835,-0.7435,
2008-05-01,99.3,86.9,100.4,398188,4.201904762,4.857380952,-0.65547619,
2008-06-01,100.2,87.2,98,417953,4.52047619,4.94052381,-0.420047619,
2008-07-01,98.7,87.7,93.8,422535,4.490434783,4.961,-0.470565217,
2008-08-01,100.4,87.4,90.5,417052,4.202380952,4.965190476,-0.762809524,
2008-09-01,98.6,87.4,89.7,409264,4.094090909,5.019181818,-0.925090909,
2008-10-01,96.5,87.2,84.6,392934,3.883478261,5.113086957,-1.229608696,
2008-11-01,92.5,86.8,78.9,367219,3.5565,4.2383,-0.6818,
2008-12-01,89.6,87,73.2,327594,3.047894737,3.292619048,-0.244724311,
2009-01-01,83.4,86.6,74.3,301715,3.070952381,2.45652381,0.614428571,
2009-02-01,80.9,87.1,72.6,317677,3.1275,1.94305,1.18445,
2009-03-01,81.2,87,71.7,317273,3.019545455,1.635454545,1.384090909,
2009-04-01,79,87,74,305622,3.133,1.4223,1.7107,
2009-05-01,82,87,76.3,298793,3.371,1.2817,2.0893,
2009-06-01,83.4,87.3,79.4,297143,3.473636364,1.227909091,2.245727273,
2009-07-01,82.4,87.3,81.9,297881,3.337826087,0.974956522,2.362869565,
2009-08-01,83.8,87.5,87.7,300159,3.305238095,0.86047619,2.444761905,
2009-09-01,86.7,87.1,89.8,301942,3.263181818,0.772090909,2.491090909,
2009-10-01,84.9,87.2,92,297630,3.209090909,0.7375,2.471590909,
2009-11-01,85.6,87.1,92.4,290595,3.217142857,0.716190476,2.500952381,
2009-12-01,85.8,87.8,93.4,281258,3.1385,0.712045455,2.426454545,
2010-01-01,86.7,87.3,93.7,271401,3.2575,0.67975,2.57775,
2010-02-01,85.6,87.6,94.5,297979,3.17,0.6617,2.5083,
2010-03-01,88.1,88.1,97.4,320129,3.102173913,0.644956522,2.457217391,
2010-04-01,90.2,88.1,103,335167,3.0645,0.6447,2.4198,
2010-05-01,92.7,88.1,102.1,355703,2.734285714,0.68652381,2.047761905,
2010-06-01,92,88.1,103.4,370431,2.543181818,0.727590909,1.815590909,
2010-07-01,91.7,88.2,107.4,391102,2.615909091,0.848818182,1.767090909,
2010-08-01,93,88.3,108.6,396706,2.35,0.8955,1.4545,
2010-09-01,94.1,88.2,110.2,397973,2.300454545,0.8805,1.419954545,
2010-10-01,95.7,88.3,110.9,400938,2.345714286,0.997666667,1.348047619,
2010-11-01,95.1,88.4,112.2,394515,2.532727273,1.042045455,1.490681818,
2010-12-01,95.8,89,112.3,380140,2.914761905,1.021695652,1.893066253,
2011-01-01,96.6,88.7,110.6,375023,3.016666667,1.017238095,1.999428571,
2011-02-01,97.5,89.3,112.2,417513,3.199,1.08675,2.11225,
2011-03-01,97.8,89.8,111.7,442333,3.21173913,1.175521739,2.036217391,
2011-04-01,97.9,89.8,111.3,461130,3.340526316,1.321210526,2.019315789,
2011-05-01,98.8,89.8,110.9,470093,3.060909091,1.425090909,1.635818182,
2011-06-01,97.4,89.9,110.6,479528,2.890909091,1.488590909,1.402318182,
2011-07-01,100.3,90.1,109.8,492291,2.743809524,1.597619048,1.146190476,
2011-08-01,99.7,90.2,105.8,497140,2.213478261,1.552086957,0.661391304,
2011-09-01,98.1,90.3,103.9,501571,1.829090909,1.536454545,0.292636364,
2011-10-01,99.4,90.4,102.5,499839,2.002380952,1.575857143,0.42652381,
2011-11-01,99,90.5,102.2,491948,1.874090909,1.484681818,0.389409091,
2011-12-01,97.9,90.7,102.9,467051,1.927619048,1.426095238,0.50152381,
2012-01-01,98.2,90.6,102.9,451918,1.820909091,1.222227273,0.598681818,
2012-02-01,97.5,91.2,103.4,473175,1.851904762,1.048285714,0.803619048,
2012-03-01,99.5,91.7,103,490903,1.830454545,0.858454545,0.972,
2012-04-01,97.7,91.6,104.1,499001,1.624210526,0.744315789,0.879894737,
2012-05-01,99.4,91.5,102.3,499217,1.336818182,0.684909091,0.651909091,
2012-06-01,98.5,91.4,101.2,499167,1.30047619,0.658857143,0.641619048,
2012-07-01,99.2,91.7,98.1,499847,1.242272727,0.497045455,0.745227273,
2012-08-01,99.2,92.1,97.4,493380,1.34173913,0.332391304,1.009347826,
2012-09-01,98.4,92.2,95.9,484507,1.4905,0.2463,1.2442,
2012-10-01,96.9,92.2,94.8,468074,1.466956522,0.207913043,1.259043478,
2012-11-01,96.2,92.2,96.7,450605,1.335909091,0.192,1.143909091,
2012-12-01,96.4,92.5,97.3,420537,1.299411765,0.185473684,1.11393808,
2013-01-01,95.7,92.1,99.3,420012,1.512272727,0.204909091,1.307363636,
2013-02-01,96.1,92.6,100.1,448442,1.5435,0.22335,1.32015,
2013-03-01,97.3,93,100.4,462660,1.3545,0.20605,1.14845,
2013-04-01,98.1,92.6,99.1,460197,1.196190476,0.208904762,0.987285714,
2013-05-01,97.1,93,100,457010,1.294090909,0.201227273,1.092863636,
2013-06-01,98.9,93.1,100.5,458732,1.5305,0.21025,1.32025,
2013-07-01,97.8,93.5,101,468686,1.565652174,0.221434783,1.344217391,
2013-08-01,99.4,93.5,103,470938,1.735,0.225863636,1.509136364,
2013-09-01,99.1,93.5,104.3,472550,1.888095238,0.223238095,1.664857143,
2013-10-01,98.5,93.3,104.4,466033,1.762173913,0.225826087,1.536347826,
2013-11-01,100.1,93.5,105.3,457996,1.677142857,0.223380952,1.453761905,
2013-12-01,100.4,93.9,105.3,440443,1.797777778,0.2735,1.524277778,
2014-01-01,100.1,93.3,106.1,425198,1.755909091,0.292045455,1.463863636,
2014-02-01,100.1,93.8,106.6,456229,1.5585,0.2881,1.2704,
2014-03-01,100,94,106.4,475714,1.508571429,0.305333333,1.203238095,
2014-04-01,99.7,93.9,106.5,485334,1.4565,0.32975,1.12675,
2014-05-01,98.9,93.8,106.3,481436,1.327142857,0.324571429,1.002571429,
2014-06-01,99.2,94,104.7,494628,1.264285714,0.241428571,1.022857143,
2014-07-01,100.7,94.3,104.4,501968,1.114347826,0.205043478,0.909304348,
2014-08-01,97.4,94.3,102.8,515092,0.956190476,0.191571429,0.764619048,
2014-09-01,99.6,94.3,101.3,518317,0.921363636,0.097090909,0.824272727,
2014-10-01,99.8,94.1,101.3,517432,0.790909091,0.082608696,0.708300395,
2014-11-01,99.8,94.1,101.3,514599,0.719,0.0809,0.6381,
2014-12-01,101.4,94,102.1,497768,0.588947368,0.080904762,0.508042607,
2015-01-01,99.8,93.1,103.3,485172,0.39,0.062666667,0.327333333,
2015-02-01,100.2,93.8,103.8,518890,0.302,0.0482,0.2538,
2015-03-01,100.3,94.3,105.6,542049,0.227272727,0.027181818,0.200090909,
2015-04-01,101,94.7,105.8,551595,0.122,0.0047,0.1173,
